Date,Time,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
1/11/2010,00:00:00,1.368,0.080,246.500,5.600,0.000,0.000,1.000
1/11/2010,00:01:00,1.368,0.080,246.550,5.600,0.000,0.000,1.000
1/11/2010,00:02:00,1.366,0.080,246.460,5.600,0.000,0.000,1.000
1/11/2010,00:03:00,1.312,0.000,246.200,5.400,0.000,0.000,0.000
1/11/2010,00:04:00,1.268,0.062,246.100,5.200,0.000,0.000,1.000
1/11/2010,00:05:00,1.270,0.062,246.130,5.200,0.000,0.000,1.000
1/11/2010,00:06:00,1.268,0.062,246.370,5.200,0.000,0.000,0.000
1/11/2010,00:07:00,1.270,0.060,246.410,5.200,0.000,0.000,1.000
1/11/2010,00:08:00,1.262,0.064,245.430,5.200,0.000,0.000,1.000
1/11/2010,00:09:00,1.260,0.064,245.350,5.200,0.000,0.000,0.000
1/11/2010,00:10:00,1.262,0.064,245.300,5.200,0.000,0.000,1.000
1/11/2010,00:11:00,1.264,0.064,245.350,5.200,0.000,0.000,1.000
1/11/2010,00:12:00,1.266,0.064,245.550,5.200,0.000,0.000,0.000
1/11/2010,00:13:00,1.268,0.064,245.890,5.200,0.000,0.000,1.000
1/11/2010,00:14:00,1.258,0.062,245.770,5.200,0.000,0.000,1.000
1/11/2010,00:15:00,1.260,0.060,246.150,5.200,0.000,0.000,0.000
1/11/2010,00:16:00,1.254,0.058,246.100,5.200,0.000,0.000,1.000
1/11/2010,00:17:00,1.316,0.000,246.040,5.400,0.000,0.000,1.000
1/11/2010,00:18:00,1.332,0.048,246.660,5.400,0.000,0.000,0.000
1/11/2010,00:19:00,1.336,0.048,246.770,5.400,0.000,0.000,1.000
1/11/2010,00:20:00,1.334,0.048,246.480,5.400,0.000,0.000,1.000
1/11/2010,00:21:00,1.334,0.048,246.780,5.400,0.000,0.000,0.000
1/11/2010,00:22:00,1.334,0.050,246.960,5.400,0.000,0.000,1.000
1/11/2010,00:23:00,1.394,0.118,246.490,5.800,0.000,0.000,1.000
1/11/2010,00:24:00,1.404,0.136,246.380,5.800,0.000,0.000,0.000
1/11/2010,00:25:00,1.366,0.082,246.810,5.600,0.000,0.000,1.000
1/11/2010,00:26:00,1.358,0.084,246.830,5.600,0.000,0.000,1.000
1/11/2010,00:27:00,1.354,0.084,246.710,5.600,0.000,0.000,0.000
1/11/2010,00:28:00,1.358,0.084,247.040,5.600,0.000,0.000,1.000
1/11/2010,00:29:00,1.348,0.080,246.180,5.400,0.000,0.000,1.000
1/11/2010,00:30:00,1.348,0.082,246.270,5.400,0.000,0.000,0.000
1/11/2010,00:31:00,1.348,0.084,246.640,5.400,0.000,0.000,1.000
1/11/2010,00:32:00,1.356,0.084,246.790,5.600,0.000,0.000,1.000
1/11/2010,00:33:00,1.350,0.084,246.620,5.400,0.000,0.000,0.000
1/11/2010,00:34:00,1.348,0.082,246.420,5.400,0.000,0.000,1.000
1/11/2010,00:35:00,1.356,0.082,246.740,5.600,0.000,0.000,1.000
1/11/2010,00:36:00,1.356,0.082,246.840,5.600,0.000,0.000,0.000
1/11/2010,00:37:00,1.290,0.000,247.010,5.200,0.000,0.000,1.000
1/11/2010,00:38:00,1.264,0.058,247.060,5.200,0.000,0.000,1.000
1/11/2010,00:39:00,1.262,0.058,247.180,5.200,0.000,0.000,0.000
1/11/2010,00:40:00,1.256,0.058,246.750,5.200,0.000,0.000,1.000
1/11/2010,00:41:00,1.256,0.056,246.990,5.200,0.000,0.000,1.000
1/11/2010,00:42:00,1.256,0.056,247.240,5.000,0.000,0.000,0.000
1/11/2010,00:43:00,1.252,0.056,246.960,5.000,0.000,0.000,1.000
1/11/2010,00:44:00,1.252,0.056,247.090,5.000,0.000,0.000,1.000
1/11/2010,00:45:00,1.254,0.056,247.220,5.000,0.000,0.000,0.000
1/11/2010,00:46:00,1.254,0.054,247.590,5.000,0.000,0.000,1.000
1/11/2010,00:47:00,1.258,0.054,247.670,5.000,0.000,0.000,1.000
1/11/2010,00:48:00,1.250,0.054,247.220,5.000,0.000,0.000,0.000
1/11/2010,00:49:00,1.322,0.000,246.450,5.400,0.000,0.000,1.000
1/11/2010,00:50:00,1.312,0.048,245.750,5.400,0.000,0.000,1.000
1/11/2010,00:51:00,1.308,0.048,245.480,5.400,0.000,0.000,0.000
1/11/2010,00:52:00,1.306,0.046,245.060,5.400,0.000,0.000,1.000
1/11/2010,00:53:00,1.304,0.046,245.090,5.400,0.000,0.000,1.000
1/11/2010,00:54:00,1.310,0.048,245.580,5.400,0.000,0.000,0.000
1/11/2010,00:55:00,1.306,0.048,245.790,5.400,0.000,0.000,1.000
1/11/2010,00:56:00,1.258,0.000,246.010,5.200,0.000,0.000,1.000
1/11/2010,00:57:00,1.384,0.046,245.760,5.600,0.000,0.000,0.000
1/11/2010,00:58:00,1.464,0.132,245.830,6.000,0.000,0.000,2.000
1/11/2010,00:59:00,1.912,0.388,245.050,8.000,0.000,0.000,10.000
1/11/2010,01:00:00,1.996,0.470,245.100,8.400,0.000,0.000,11.000
1/11/2010,01:01:00,2.038,0.516,245.440,8.600,0.000,1.000,11.000
